ora,seq,"event_type","content_id","payload"
2026-09-03 08:41:39.693,25,"CDN_REQUEST","rai-news-live","{""cdn_name"":""mainstreaming"",""request_type"":""segment"",""media_type"":""muxed"",""http_status"":200,""ttfb_ms"":30.600000000558794,""duration_ms"":131.1000000005588,""bytes"":641648,""throughput_kbps"":39155,""sequence_number"":371845}"
2026-09-03 08:41:41.695,26,"CDN_REQUEST","rai-news-live","{""cdn_name"":""mainstreaming"",""request_type"":""segment"",""media_type"":""muxed"",""http_status"":200,""ttfb_ms"":33.09999999962747,""duration_ms"":142.09999999962747,""bytes"":703312,""throughput_kbps"":39595,""sequence_number"":371846}"
2026-09-03 08:41:42.519,27,"HEARTBEAT","rai-news-live","{""playback_position_s"":21.256146,""current_bitrate_kbps"":2537,""current_resolution"":""1280x720"",""is_buffering"":false,""rebuffer_time_ms"":0,""buffer_length_s"":28.711449,""bandwidth_estimate_kbps"":43556.47788096152,""decoded_video_frames"":210,""dropped_video_frames"":0,""playback_rate"":1,""live_latency_s"":28.76198143764187}"
2026-09-03 08:41:43.693,28,"CDN_REQUEST","rai-news-live","{""cdn_name"":""mainstreaming"",""request_type"":""segment"",""media_type"":""muxed"",""http_status"":200,""ttfb_ms"":32.90000000037253,""duration_ms"":135.6000000005588,""bytes"":656128,""throughput_kbps"":38710,""sequence_number"":371847}"
2026-09-03 08:41:44.519,29,"LIVE_LATENCY","rai-news-live","{""latency_s"":30.744553951171874,""playback_position_s"":21.256146}"
2026-09-03 08:41:45.698,30,"CDN_REQUEST","rai-news-live","{""cdn_name"":""mainstreaming"",""request_type"":""segment"",""media_type"":""muxed"",""http_status"":200,""ttfb_ms"":31.899999999441206,""duration_ms"":142.20000000018626,""bytes"":706896,""throughput_kbps"":39769,""sequence_number"":371848}"
2026-09-03 08:41:47.458,31,"CDN_REQUEST","rai-news-live","{""cdn_name"":""mainstreaming"",""request_type"":""segment"",""media_type"":""muxed"",""http_status"":200,""ttfb_ms"":30.40000000037253,""duration_ms"":134.5,""bytes"":673056,""throughput_kbps"":40033,""sequence_number"":371849}"
2026-09-03 08:41:49.793,32,"CDN_REQUEST","rai-news-live","{""cdn_name"":""mainstreaming"",""request_type"":""segment"",""media_type"":""muxed"",""http_status"":200,""ttfb_ms"":31.90000000037253,""duration_ms"":138.6000000005588,""bytes"":690720,""throughput_kbps"":39868,""sequence_number"":371850}"
2026-09-03 08:41:51.804,33,"CDN_REQUEST","rai-news-live","{""cdn_name"":""mainstreaming"",""request_type"":""segment"",""media_type"":""muxed"",""http_status"":200,""ttfb_ms"":30.90000000037253,""duration_ms"":145.30000000074506,""bytes"":732080,""throughput_kbps"":40307,""sequence_number"":371851}"
2026-09-03 08:41:53.792,34,"CDN_REQUEST","rai-news-live","{""cdn_name"":""mainstreaming"",""request_type"":""segment"",""media_type"":""muxed"",""http_status"":200,""ttfb_ms"":32.59999999962747,""duration_ms"":138.40000000037253,""bytes"":677568,""throughput_kbps"":39166,""sequence_number"":371852}"
2026-09-03 08:41:55.795,35,"CDN_REQUEST","rai-news-live","{""cdn_name"":""mainstreaming"",""request_type"":""segment"",""media_type"":""muxed"",""http_status"":200,""ttfb_ms"":31.299999999813735,""duration_ms"":141.79999999981374,""bytes"":717040,""throughput_kbps"":40454,""sequence_number"":371853}"
2026-09-03 08:41:56.855,36,"HEARTBEAT","rai-news-live","{""playback_position_s"":30.879223,""current_bitrate_kbps"":2537,""current_resolution"":""1280x720"",""is_buffering"":false,""rebuffer_time_ms"":0,""buffer_length_s"":33.090005000000005,""bandwidth_estimate_kbps"":44597.29295067422,""decoded_video_frames"":451,""dropped_video_frames"":0,""playback_rate"":1,""live_latency_s"":34.32259309765625}"
2026-09-03 08:41:57.790,37,"CDN_REQUEST","rai-news-live","{""cdn_name"":""mainstreaming"",""request_type"":""segment"",""media_type"":""muxed"",""http_status"":200,""ttfb_ms"":30.899999999441206,""duration_ms"":135.79999999981374,""bytes"":675120,""throughput_kbps"":39771,""sequence_number"":371854}"
2026-09-03 08:41:59.788,38,"CDN_REQUEST","rai-news-live","{""cdn_name"":""mainstreaming"",""request_type"":""segment"",""media_type"":""muxed"",""http_status"":200,""ttfb_ms"":31.5,""duration_ms"":135.20000000018626,""bytes"":664784,""throughput_kbps"":39336,""sequence_number"":371855}"
2026-09-03 08:42:01.792,39,"CDN_REQUEST","rai-news-live","{""cdn_name"":""mainstreaming"",""request_type"":""segment"",""media_type"":""muxed"",""http_status"":200,""ttfb_ms"":30.09999999962747,""duration_ms"":140.59999999962747,""bytes"":702944,""throughput_kbps"":39997,""sequence_number"":371856}"
2026-09-03 08:42:02.810,40,"SESSION_END","rai-news-live","{""watch_time_s"":50.957,""completion_pct"":null,""reason"":""user_stop"",""rebuffer_count"":0,""rebuffer_time_s"":0,""bitrate_change_count"":1,""startup_time_ms"":2511,""avg_throughput_kbps"":38735.24137931035,""avg_ttfb_ms"":33.60689655164706}"
